Survived,Age,Fare,TravelAlone,Pclass_2,Pclass_3,Embarked_Q,Embarked_S,Sex_male
0.0,0.2711736617240513,0.014151057562208049,0.0,0.0,1.0,0.0,1.0,1.0
1.0,0.4722292033174164,0.13913573538264068,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.32143754712239253,0.015468569817999833,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.43453128926866047,0.10364429745562033,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.43453128926866047,0.015712553569072387,1.0,0.0,1.0,0.0,1.0,1.0
0.0,0.36792055349407915,0.01650950209357577,1.0,0.0,1.0,1.0,0.0,1.0
0.0,0.6732847449107816,0.10122885832000206,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.01985423473234481,0.04113566043083236,0.0,0.0,1.0,0.0,1.0,1.0
1.0,0.33400351847197784,0.021730754366528396,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.17064589092736868,0.058694292654020104,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.04498617743151546,0.03259622914329302,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.7235486303091229,0.051822148727810165,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.24604171902488062,0.015712553569072387,1.0,0.0,1.0,0.0,1.0,1.0
0.0,0.4847951746670017,0.06104473451835265,0.0,0.0,1.0,0.0,1.0,1.0
0.0,0.17064589092736868,0.015330377421392339,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.6858507162603669,0.03122992013728673,1.0,1.0,0.0,0.0,1.0,0.0
0.0,0.01985423473234481,0.056848213999904744,0.0,0.0,1.0,1.0,0.0,1.0
1.0,0.36792055349407915,0.025374310111545468,1.0,1.0,0.0,0.0,1.0,1.0
0.0,0.38426740387031916,0.03513366015444757,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.36792055349407915,0.014102260811993537,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.43453128926866047,0.050748620223090936,1.0,1.0,0.0,0.0,1.0,1.0
1.0,0.42196531791907516,0.025374310111545468,1.0,1.0,0.0,0.0,1.0,1.0
1.0,0.18321186227695402,0.015671954672893913,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.3465694898215632,0.06929138530460492,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.09525006282985675,0.04113566043083236,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.4722292033174164,0.061264319894317944,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.36792055349407915,0.014102260811993537,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.23347574767529528,0.5133418122566505,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.36792055349407915,0.01537917417160685,1.0,0.0,1.0,1.0,0.0,0.0
0.0,0.36792055349407915,0.015411575213749284,1.0,0.0,1.0,0.0,1.0,1.0
0.0,0.4973611460165871,0.05410739813385612,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.36792055349407915,0.2859895551532101,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.36792055349407915,0.015126992566498259,1.0,0.0,1.0,1.0,0.0,0.0
0.0,0.8240764011058055,0.020494635090094415,1.0,1.0,0.0,0.0,1.0,1.0
0.0,0.3465694898215632,0.16038672010106,0.0,0.0,0.0,0.0,0.0,1.0
